title;creators;translator;isbn13;isbn10;publisher;country;continent;language;type;group;labels;status;library
Zωή είναι Aλλού, H;Milan Kundera;;9789602100844;9602100842;Οδυσσέας;Czech Republic (Czechia);Europe;Greek;novel;;;Read;Piraeus Library
Tέχνη του Mυθιστορήματος, H;Milan Kundera;;9789600500486;9600500487;Βιβλιοπωλείο της Εστίας;Czech Republic (Czechia);Europe;Greek;essay;;;;
Read;Piraeus Library;;;;;;;;;;;;
Βαμμένος Πέπλος;Maugham Somerset;;;;;United Kingdom;Europe;Greek;novel;;;Read;Piraeus Library
Τα γραφτά του Πικάσο;Mario De Micheli;;;;Οδυσσέας;Italy;Europe;Greek;album;;#art;Read;Piraeus Library
Φωτιές;Marguerite Yourcenar;;9789602640203;9602640200;Χατζηνικολή;France;Europe;Greek;novel;;;Read;Piraeus Library
Φεγγάρι Έπεσε, Το;John Steinbeck;;;9603291277;Γράμματα;United States;North America;Greek;novel;;;Read;Piraeus Library
Αμαντέους;;;;;Δημοτικό Θέατρο Πειραιά;;;Greek;theatre program;;#theatre;Not Applicable;Piraeus Library
Μιλώντας στην ’ννα για τα μαθηματικά;Τεύκρος Μιχαηλίδης;;9789601658131;;Πατάκης;Cyprus;Europe;Greek;novel;;#mathematics;Read;Piraeus Library
’νθη του Κακού, Τα;Charles Baudelaire;;9789603294719;9603294713;Γράμματα;France;Europe;Greek;poetry;;;Read;Piraeus Library
Ιστορίες για Μισογύνηδες;Patricia Highsmith;;9789603291763;9603291765;Γράμματα;United States;North America;Greek;short story collection;;;Read;Piraeus Library
Επτά δοκίμια για την ποίηση;T.S. Eliot;;9789603291367;9603291366;Γράμματα;United Kingdom;Europe;Greek;essay;;;;
Read;Piraeus Library;;;;;;;;;;;;
Aγάπη άργησε μια μέρα, H;Λιλή Ζωγράφου;;9789602210802;960221080X;Αλεξάνδρεια;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Tιμή του Aδελφού, Η;Γρηγόριος Ξενόπουλος;;9789603020752;9603020753;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Δεν βγήκα από το σκοτάδι μου;Annie Ernaux;;9789602641309;9602641304;Χατζηνικολή;France;Europe;Greek;novel;;;Read;Piraeus Library
Ιστορία του Μπαλέτου;Ferdinando Reyna;;9789607183378;;Υποδομή;Italy;Europe;Greek;album;;#dance;Read;Piraeus Library
Ημερολόγιο ενός κλέφτη, Το;Jean Genet;;;;Εξάντας;France;Europe;Greek;novel;;;Read;Piraeus Library
Το ροζ που δεν ξέχασα;Γιάννης Ξανθούλης;;9789600308235;9600308233;Καστανιώτης;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Γράμματα σ' ένα Νέο Ποιητή;Rainer Maria Rilke;;9789607233301;9607233301;Ίκαρος;Austria;Europe;Greek;essay;;;;
Read;Piraeus Library;;;;;;;;;;;;
Τόμος 2: Οι Περίφημες Εξερευνήσεις;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Ηθικά - Περί Φλυαρίας - Οργής - Δεισιδαιμονίας;Πλούταρχος;;;;Πύρινος Κόσμος;Greece;Europe;Greek;philosophy;;;Read;Piraeus Library
’παντα, Τόμος Β;Γεώργιος Σουρής;;;;Πλήρης;Greece;Europe;Greek;poetry;;;Read;Piraeus Library
Τόμος 8: Η Ιστορία του Πολιτισμού;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 7: Αφρική, Αμερική, Ωκεανία, Πόλοι;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 6: Φυλές, Χώρες, Λαοί - Ευρώπη, Ασία;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 5: Ο ’νθρωπος και η Θάλασσα;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 4: Επιστημονικές Ανακαλύψεις;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 3: Η Τέχνη και οι Δημιουργοί της;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 11: Η Παγκόσμια Λογοτεχνία;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 12: Το Θέατρο και οι Δημιουργοί του;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 13: Ο Κόσμος του Κινηματογράφου;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 14: Τα Θαύματα της Φύσεως;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 15: Το Βασίλειο των Ζώων;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 16: Το Βασίλειο των Φυτών;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Υιέ μου, Υιέ μου;Howard Spring;;;;Στρατίκης;United Kingdom;Europe;Greek;novel;;;Read;Piraeus Library
Τόμος 1: Η Κατάκτηση του Διαστήματος;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 10: Η Μουσική και οι Συνθέτες;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
Τόμος 9: Η Ιστορία του Πολιτισμού;;;;;Χάρης Ζολινδάκης;;;Greek;encyclopedia;Κορμογνωσία Curcio;;Not Applicable;Piraeus Library
’παντα, Τόμος Α;Γεώργιος Σουρής;;;;Πλήρης;Greece;Europe;Greek;poetry;;;Read;Piraeus Library
Ταχυδρομείο, Το;Charles Bukowski;;;;Οδυσσέας;United States;North America;Greek;novel;;;Read;Piraeus Library
Καλόγρια, Η;Denis Diderot;;9789602080917;9602080914;Ζαχαρόπουλος;France;Europe;Greek;novel;;;Read;Piraeus Library
Tοίχος, O;Jean-Paul Sartre;;9789601622187;9601622187;Πατάκης;France;Europe;Greek;philosophy;;;Read;Piraeus Library
Tesla;Vladimir Pistalo;;9789600366174;9600366179;Καστανιώτης;Serbia;Europe;Greek;biography;;#science;Read;Piraeus Library
Στο Δρόμο;Jack Kerouac;;9789603482642;;Πλέθρον;United States;North America;Greek;novel;;;Read;Piraeus Library
Tα Υπόγεια του Βατικανού;Andr? Gide;;9789602081587;9602081589;Ζαχαρόπουλος;France;Europe;Greek;novel;;;Read;Piraeus Library
Tο Παιδί και το Καρβέλι;Augustin Gomez Arcos;;9789602082096;9602082097;Ζαχαρόπουλος;Spain;Europe;Greek;novel;;;Read;Piraeus Library
Περί Ηρώων Και Τάφων;Ernesto Sabato;;9786180317008;;Μεταίχμιο;Argentina;South America;Greek;novel;;;Read;Piraeus Library
Για Τις Γάτες;Charles Bukowski;;9789601681269;;Πατάκης;United States;North America;Greek;short story collection;;;Read;Piraeus Library
Λεμονόδασος;Κοσμάς Πολίτης;;9780003200737;;Ερμής;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Πεζογράφοι Της Λατινικής Αμερικής;Multiple;;9789603290698;;Γράμματα;;;Greek;short story collection;;;Read;Piraeus Library
Κουτσό;Julio Cortazar;;9789608397934;9608397936;Opera;Argentina;South America;Greek;novel;;;Read;Piraeus Library
Ηλέκτρα του Ευρυπίδη;;;;;;;;Greek;theatre program;;#theatre;Not Applicable;Piraeus Library
Φώτα της Ράμπας, Τα;Charlie Chaplin;;9789603350415;9603350419;;United States;North America;Greek;novel;;#cinema;Read;Piraeus Library
Ψέμα, Το;Ζωρζ Σαρή;;9789602936801;9602936800;Πατάκης;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Πλούσιοι και Φτωχοί;Γρηγόριος Ξενόπουλος;;9789603020110;9603020117;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Μεγάλη Περιπέτεια;Γρηγόριος Ξενόπουλος;;9789603020264;;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ιστορία ενός Ανδρογύνου;Γρηγόριος Ξενόπουλος;;9789603021414;9603021415;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Αρραβωνιασμένοι στα Ψέματα;Γρηγόριος Ξενόπουλος;;9789603020240;9603020249;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Aρραβωνιαστικιά του Αχιλλέα, H;’λκη Ζέη;;9789600401806;9600401802;Κέδρος;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ρευστή Aγάπη;Zygmunt Bauman;;9799600512532;;Βιβλιοπωλείο της Εστίας;Poland;Europe;Greek;philosophy;;;Read;Piraeus Library
Το Παλτό το Αστρακάν;Pierro Ciara;;9789607180254;9607180259;Perugia;Italy;Europe;Greek;novel;;;Read;Piraeus Library
Απάνεμα Βράδια;Γρηγόριος Ξενόπουλος;;9789603020295;960302029X;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Μικρή Ιστορία της Φιλοσοφίας;Nigel Warburton;;9789601646367;9601646361;Πατάκης;United Kingdom;Europe;Greek;philosophy;;;Read;Piraeus Library
Εύθυμες Κυράδες;;;;;Δημοτικό Θέατρο Πειραιά;;;Greek;theatre program;;#theatre;Not Applicable;Piraeus Library
Φόβος μπροστά στην ελευθερία, Ο;Erich Fromm;;9789606052286;9606052281;Διόπτρα;Germany;Europe;Greek;philosophy;;;Read;Piraeus Library
Πληροφοριακά Συστήματα Προσεγγίσεις Ανάπτυξη Πραγμάτωση;Γεώργιος Βασιλακόπουλος;;9786185309398;;Τσιότρας;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Σχεδιασμός βάσεων δεδομένων;Γεώργιος Βασιλακόπουλος;;9789609308724;9609308724;Γραφικές Τέχνες;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Κύριος Πρόεδρος, Ο;Miguel ?ngel Asturias;;2220001155501;;Διεθνή Βιβλία;Guatemala;North America;Greek;novel;;;Read;Piraeus Library
Μαντάμ Βου;Pearl Buck;;;;Γκοβόστης;United States;North America;Greek;novel;;;Read;Piraeus Library
Μπάρρυ Λύντον;William Makepeace Thackeray;;9789602082928;9602082925;Ζαχαρόπουλος;United Kingdom;Europe;Greek;novel;;;Read;Piraeus Library
Τελευταίος Πειρασμός, Ο;Νίκος Καζαντζάκης;;;;Εκδόσεις Καζαντζάκη;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Tom Jones, B' Τόμος;Henry Fielding;;9789600104714;;Gutenberg;United Kingdom;Europe;Greek;novel;;;Read;Piraeus Library
Mια Eξομολόγηση;Leo Tolstoy;;9789607408327;9607408322;Printa;Russia;Europe;Greek;novel;;;Read;Piraeus Library
Tom Jones, A' Τόμος;Henry Fielding;;9789600104691;9600104697;Gutenberg;United Kingdom;Europe;Greek;novel;;;Read;Piraeus Library
Ο Θησαυρός των Ντάλτον;Vicq;;9789603211877;9603211877;Μαμούθ Κόμικς;Belgium;Europe;Greek;comics;Lucky Luke;;Read;Aigio Library (Personal)
Κάνυον Απάτσι;Rene Goscinny;;9789603211884;9603211885;Μαμούθ Κόμικς;France;Europe;Greek;comics;Lucky Luke;;Read;Aigio Library (Personal)
Ο Προφήτης;Patrick Nordmann ;;9789603213154;9603213152;Μαμούθ Κόμικς;Belgium;Europe;Greek;short story collection;Lucky Luke;;Read;Aigio Library (Personal)
Τα Backstage του ελληνικού σινεμά;Μάκης Δελαπόρτας;;9789605475635;;’γκυρα;Greece;Europe;Greek;album;;#cinema;Read;Piraeus Library
Ιστορία του Ελληνικού Κινηματογράφου: 3ος Τόμος, 1990-2000;Γιάννης Σολδάτος;;9789603221371;9603221376;Αιγόκερως;Greece;Europe;Greek;album;;#cinema;Read;Piraeus Library
Ιστορία του Ελληνικού Κινηματογράφου: 2ος Τόμος, 1967-1990;Γιάννης Σολδάτος;;9789603221241;9603221244;Αιγόκερως;Greece;Europe;Greek;album;;#cinema;Read;Piraeus Library
Λολίτα;Vladimir Nabokov;;9789601604367;9601604367;Πατάκης;Russia;Europe;Greek;novel;;;Read;Piraeus Library
Και Να Καθαρίσουμε Τους Κακομούτσουνους;Boris Vian;;9789603291442;;Γράμματα;France;Europe;Greek;novel;;;Read;Piraeus Library
’γνωστο Αριστούργημα, Το;Honore de Balzac;;9789603250456;9603250457;’γρα;France;Europe;Greek;novella;;;Read;Piraeus Library
Ιστορία της ελληνικής τηλεόρασης (1960-2018);Στάθης Βαλούκος;;9789603225461;;Αιγόκερως;Greece;Europe;Greek;album;;#cinema;Read;Piraeus Library
Ιστορία του Ελληνικού Κινηματογράφου: 1ος Τόμος, 1900-1967;Γιάννης Σολδάτος;;9789603221234;9603221236;Αιγόκερως;Greece;Europe;Greek;album;;#cinema;Read;Piraeus Library
Ιστορία του Ελληνικού Κινηματογράφου Τόμος Α';Γιάννης Σολδάτος;;9789603226055;960322605X;Αιγόκερως;Greece;Europe;Greek;album;;#cinema;Read;Piraeus Library
Χωριό, Το (A' Τόμος);William Faulkner;;;;Κραναός;United States;North America;Greek;novel;;;Read;Piraeus Library
Στέλλα Βιολάντη - Ισαβέλλα;Γρηγόριος Ξενόπουλος;;9788888942117;;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Οργισμένα Νιάτα;John Osborne;;9789602482445;9602482443;Δωδώνη;United Kingdom;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Σαν Νερό για Ζεστή Σοκολάτα;Laura Esquivel;;9789607213594;9607213599;Ωκεανίδα;Mexico;North America;Greek;novel;;;Read;Piraeus Library
Λουκίντο Βισκόντι;;;9789607165428;960716542X;Οδός Πανός;;;Greek;biography;;#cinema;Read;Piraeus Library
Η Κόρη του Λοχαγού;Aleksandr Sergeevich Pushkin;;9789602081792;9602081791;Ζαχαρόπουλος;Russia;Europe;Greek;novel;;;Read;Piraeus Library
Aνοιξιάτικα Νερά;Ivan Turgenev;;9789602081662;960208166X;Ζαχαρόπουλος;Russia;Europe;Greek;novel;;;Read;Piraeus Library
Ώρα του Διαβόλου, Η;Fernando Pessoa;;9789602564295;9602564296;Εξάντας;Portugal;Europe;Greek;short story collection;;;Read;Piraeus Library
Τρελός Έρως, Ο;Andr? Breton;;9789607949417;9607949412;ύψιλον;France;Europe;Greek;novel;;;Read;Piraeus Library
Σχολείο Γυναικών;Andr? Gide;;9789602080412;9602080418;Ζαχαρόπουλος;France;Europe;Greek;novel;;;Read;Piraeus Library
Θεατρικά (Ο Βυσσινόκηπος, Οι τρεις αδελφές, Ο θείος Βάνιας);Anton Chekhov;;;;Γκοβόστης;Russia;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Ουτς;Bruce Chatwin;;9788862390453;;Alter - Ego;United Kingdom;Europe;Greek;novel;;;Read;Piraeus Library
Χέρτσογκ;Saul Bellow;;9788862390217;8862390211;Alter - Ego;Canada;North America;Greek;novel;;;Read;Piraeus Library
Εξαφάνιση, Η;Jos? Donoso;;;;Ροές;Chile;South America;Greek;novel;;;Read;Piraeus Library
Παναγία των Λουλουδιών, Η;Jean Genet;;;;Εξάντας;France;Europe;Greek;novel;;;Read;Piraeus Library
Μαύρα Σκυλιά;Ian McEwan;;9788862390033;8862390033;Alter - Ego;United Kingdom;Europe;Greek;novel;;;Read;Piraeus Library
Πόθοι κάτω απ' τις φτελιές;Eugene O' Neill;;9789602481677;9602481676;Δωδώνη;United States;North America;Greek;novel;;#theatre;Read;Piraeus Library
Φιλουμένα Μαρτουράνο;Eduardo De Filippo;;9789602482605;9602482605;Δωδώνη;Italy;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Η μεγάλη παντομίμα;Dario Fo;;9789602482704;9602482702;Δωδώνη;Italy;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Καλιγούλας;Albert Camus;;9789602481868;9602481862;Δωδώνη;France;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Τα παλικάρια στο Χέλγκελαντ;Henrik Ibsen;;9789602486313;9602486317;Δωδώνη;Norway;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Πάρτυ γενεθλίων;Harold Pinter;;9789602482490;9602482494;Δωδώνη;United Kingdom;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Ματωμένα στέφανα;Federico Garc?a Lorca;;9789602481998;9602481994;Δωδώνη;Spain;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Ο Ορφέας στον ’δη;Tennessee Williams;;9789602482469;960248246X;Δωδώνη;United States;North America;Greek;theatre;;#theatre;Read;Piraeus Library
O Παγοπώλης Έρχεται;Eugene O' Neill;;9789602481738;9602481730;Δωδώνη;United States;North America;Greek;theatre;;#theatre;Read;Piraeus Library
Οι Βρυκόλακες;Henrik Ibsen;;9789602482308;9602482303;Δωδώνη;Norway;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Όλοι εκείνοι που πέφτουν. Ω οι ωραίες μέρες;Samuel Beckett;;9789602482049;9602482044;Δωδώνη;United Kingdom;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Έντα Γκάμπλερ;Henrik Ibsen;;9789602481783;9602481781;Δωδώνη;Norway;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Εκάβη;;;;;Θεατρική Διαδρομή;;;Greek;theatre program;;#theatre;Not Applicable;Piraeus Library
Αιγαίο;Ηλίας Βενέζης;;;;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;short story collection;;;Read;Piraeus Library
Η Γυφτοπούλα;Αλέξανδρος Παπαδιαμάντης;;;;Συλλογή;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Αστροφεγγιά;Ι.Μ. Παναγιωτόπουλος;;;9608723205;Εκδόσεις της Σχολής Ι.Μ.Παναγιωτόπουλου;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Eroica;Κοσμάς Πολίτης;;;;Ερμής;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Τα Στερνά του Μίχαλου;Μ.Καραγάτσης;;;;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Μαύρες Σημαίες ;August Strindberg;;;;Βιβλιοπωλείο της Εστίας;Sweden;Europe;Greek;novel;;;Read;Piraeus Library
Μπουβάρ και Πεκυσέ;Gustave Flaubert;;;;Ηριδανός;France;Europe;Greek;novel;;;Read;Piraeus Library
Δεκαήμερον (Επιλογή);Βοκάκιος;;;;Γράμματα;Italy;Europe;Greek;short story collection;;;Read;Piraeus Library
Ο Θάνατος καο ο Θόδωρος;Μ.Καραγάτσης;;;9600500118;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ωκεανός;Ηλίας Βενέζης;;;;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Αδελφοφάδες;Νίκος Καζαντζάκης;;;;Εκδόσεις Καζαντζάκη;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Σ'ένα μήνα σ'ένα χρόνο;Fran?oise Sagan;;;;Πέλλα;France;Europe;Greek;novel;;;Read;Piraeus Library
Καλημέρα Θλίψη;Fran?oise Sagan;;;;Πέλλα;France;Europe;Greek;novel;;;Read;Piraeus Library
Κοντά στον Ουρανό, Τόμος Β;Ayn Rand;;9789604100668;9604100661;Ωκεανίδα;Russia;Europe;Greek;novel;;;Read;Piraeus Library
Ιστορίες Αμαρτίας και Αγιοσύνης;Μ.Καραγάτσης;;9789600509472;9600509476;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;short story collection;;;Read;Piraeus Library
Ο Κοτζάμπασης του Καστρόπυργου ;Μ.Καραγάτσης;;9789600502060;9600502064;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ζιζέλ;;;;;;;;Greek;theatre program;;#theatre;Not Applicable;Piraeus Library
Κοντά στον Ουρανό, Τόμος A;Ayn Rand;;9789604100651;9604100653;Ωκεανίδα;Russia;Europe;Greek;novel;;;Read;Piraeus Library
Αίμα Χαμένο και Κερδισμένο;Μ.Καραγάτσης;;9789600503968;9600503966;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Τρυφερή είναι η Νύχτα;F. Scott Fitzgeral;;;;Ηριδανός;United States;North America;Greek;novel;;;Read;Piraeus Library
Η Τριλογία του Παραθερισμού;Carlo Goldoni;;;9603851671;Δωδώνη;Italy;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Ο Αιγύπτιος;Mika Waltari;;;;Κάκτος;Finland;Europe;Greek;novel;;;Read;Piraeus Library
Ασθενείς και Οδοιπόροι, Τόμος Β';Γιώργος Θεοτοκάς;;9789600508123;9600508127;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ο γιος μου κι η κόρη μου ;Γρηγόριος Ξενόπουλος;;;;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Πρόσφυγες;Γρηγόριος Ξενόπουλος;;;;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Έθιμα Ταφής;Hannah Kent;;9789605720384;;Ίκαρος;Australia;Oceania;Greek;novel;;;Read;Piraeus Library
Ο Τρόσκι εξόριστος;Peter Weiss;;;;Δωδώνη;Germany;Europe;Greek;theatre;;#theatre;Read;Piraeus Library
Στη Γη είμαστε πρόσκαιρα υπέροχοι;Ocean Vuong;;9789600121858;;Gutenberg;Vietnam;Asia;Greek;novel;;;Read;Piraeus Library
Ο Σκύλος μου ο Ηλίθιος;John Fante;;9786188445956;;Δώμα;United States;North America;Greek;novel;;;Read;Piraeus Library
Ασθενείς και Οδοιπόροι, Τόμος Α';Γιώργος Θεοτοκάς;;9789600508246;9600508240;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Σάρα Μπερνάρ;Fran?oise Sagan, Xavier Fauche;;;;Ζαχαρόπουλος;France;Europe;Greek;biography;;#theatre;Read;Piraeus Library
Ο Οδηγός;R.K. Narayan;;9789603755159;960375515Χ;Μεταίχμιο;India;Asia;Greek;novel;;;Read;Piraeus Library
Της Νεκρής Πριγκίπισσας;Keniz? Mourad;;9789607213037;;Ωκεανίδα;France;Europe;Greek;novel;;;Read;Piraeus Library
Το Κουρδιστό Πουλί;Haruki Murakami;;9786180145168;6180145164;Ψυχογιός;Japan;Asia;Greek;novel;;;Read;Piraeus Library
Γλυκό Πουλί της Νιότης;Tennessee Williams;;9789602480120;9602480122;Δωδώνη;United States;North America;Greek;theatre;;;Read;Piraeus Library
Οι Μπαλάντες του Σκόρδου;Yan Mo;;9789600341508;9600341508;Καστανιώτης;China;Asia;Greek;novel;;;Read;Piraeus Library
Νάρκισσος και Γκόλντμουντ;Hermann Hesse;;9789602080566;9602080566;Ζαχαρόπουλος;Germany;Europe;Greek;novel;;;Read;Piraeus Library
Κούκλας Σπιτικό;Henrik Ibsen;;9789605581824;9605581825;Δωδώνη;Norway;Europe;Greek;theatre;;;Read;Piraeus Library
Το Σενάριο του Ελληνικού Κινηματογράφου;Multiple;;9786185725556;;Βήμα;;;Greek;album;;#cinema;Read;Piraeus Library
Τα Εφτά Φεγγάρια του Μααλι Αλμεϊντα;Shehan Karunatilaka;;9789600124385;;Gutenberg;Sri Lanka;Asia;Greek;novel;;;Read;Piraeus Library
Ο Κίτρινος Φάκελος - Τόμος Β;Μ.Καραγάτσης;;;;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Το Χαμένο Νησί;Μ.Καραγάτσης;;;;Ίκαρος;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ο Κίτρινος Φάκελος - Τόμος Α;Μ.Καραγάτσης;;;;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Είμαι η Φωνή τους;Nadia Murad;;9789601683126;;Πατάκης;Iraq;Asia;Greek;novel;;;Read;Piraeus Library
Η Προξενήτρα;;;;;Εθνικό Θέατρο;;;Greek;theatre program;;#theatre;Not Applicable;Piraeus Library
Τσίτσος: Η Γάτα που μιλούσε πολύ;Χόρχε Κάπα;;9786182201244;;Διόπτρα;Greece;Europe;Greek;short story collection;;;Read;Piraeus Library
Borges Δοκίμια [Ι];Jorge Luis Borges;;9789601652429;;Πατάκης;Argentina;South America;Greek;essay;;;;
Read;Piraeus Library;;;;;;;;;;;;
Borges Δοκίμια [ΙΙ];Jorge Luis Borges;;9789601652436;;Πατάκης;Argentina;South America;Greek;essay;;;;
Read;Piraeus Library;;;;;;;;;;;;
Η Νύχτα της Χρυσής Πεταλούδας;Ali Tariq;;9789603259572;;’γρα;Pakistan;Asia;Greek;novel;;;Read;Piraeus Library
Φαρμάκι;Saneh Sangsuk;;9789602641774;;Χατζηνικολή;Thailand;Asia;Greek;novella;;;Read;Piraeus Library
Ο Μεγάλος Ευνούχος της Κωνσταντινούπολης;?mer Z?lf? Livaneli;;9789603783749;;Πατάκης;Turkey;Asia;Greek;novel;;;Read;Piraeus Library
Η Χορτοφάγος;Han Kang;;9789600367218;;Καστανιώτης;South Korea;Asia;Greek;novel;;;Read;Piraeus Library
Τραμ 83;Fiston Mwanza Mujila;;9789600362909;;Καστανιώτης;DR Congo;Africa;Greek;novel;;;Read;Piraeus Library
Η Ομορφιά είναι Πληγή;Eka Kurniawan;;9789601675930;;Πατάκης;Indonesia;Asia;Greek;novel;;;Read;Piraeus Library
Μυρμηγκοφωλιές Στη Σαβάνα;Chinua Achebe;;9789606715624;;Πάπυρος;Nigeria;Africa;Greek;novel;;;Read;Piraeus Library
Το Μέγαρο Γιακουμπιάν;Alaa Al Aswany;;9789601626208;;Πατάκης;Egypt;Africa;Greek;novel;;;Read;Piraeus Library
H Φυλακισμένη;Malika Oufkir;;9789602743935;;Ψυχογιός;Morocco;Africa;Greek;novel;;;Read;Piraeus Library
Σανταλόξυλο, λιβάνι και τριαντάφυλλο;Dilruba Z. Ara;;9789604104765;;Ωκεανίδα;Bangladesh;Asia;Greek;novel;;;Read;Piraeus Library
Ρεαλιστική Τριλογία;Joaquim Maria Machado de Assis;;9789600118421;;Gutenberg;Brazil;South America;Greek;novel;;;Read;Piraeus Library
Εγώ, η Ευρώπη;Βλάσσης Τρεχλής;;9789606156724;;Αρμός;Greece;Europe;Greek;novel;;;Read;Aigio Library (Personal)
Hotel New York;Βλάσσης Τρεχλής;;9789600446043;;Κέδρος;Greece;Europe;Greek;novel;;;Read;Aigio Library (Personal)
Πληγωμένοι ’γγελοι;Yasmina Khadra;;9789601661421;;Πατάκης;Algeria;Africa;Greek;novel;;;Read;Piraeus Library
Έρωτας στα Χρόνια της Χολέρας;Gabriel Garc?a M?rquez;;;;Λιβάνης;Colombia;South America;Greek;novel;;;Read;Piraeus Library
O Κήπος των Ρόδων;Saadi;;;;Ηριδανός;Iran;Asia;Greek;short story collection;;;Read;Piraeus Library
O Πολωνός ;J. M. Coetzee;;9786182203675;;Διόπτρα;South Africa;Africa;Greek;novel;;;Read;Piraeus Library
